Order,PID,MS_SubClass,Lot_Frontage,Lot_Area,Lot_Shape,Land_Contour,Lot_Config,Neighborhood,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exterior_1st,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Central_Air,Electrical,SF_1st_Flr,SF_2nd_Flr,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Ssn3_Porch,Screen_Porch,Fence,Misc_Val,Mo_Sold,Yr_Sold,SaleCondition,SalePrice
716,902325070,75,90,8100,Reg,Lvl,Corner,OldTown,1Fam,2.5Unf,5,5,1898,1965,Hip,AsbShng,TA,TA,PConc,TA,TA,No,Unf,0,849,849,N,FuseA,1075,1063,2138,0,0,2,0,2,TA,11,0,NA,Detchd,1910,Unf,2,360,Fa,Po,40,156,0,0,0,MnPrv,0,11,2009,Normal,106000
717,902326030,70,65,11700,IR1,Lvl,Corner,OldTown,1Fam,2Story,7,7,1880,2003,Mansard,Stucco,Gd,TA,Stone,TA,Fa,No,Unf,0,1240,1240,N,SBrkr,1320,1320,2640,0,0,1,1,4,Gd,8,1,Gd,Detchd,1950,Unf,4,864,TA,TA,181,0,386,0,0,NA,0,5,2009,Normal,265979
718,902327070,70,70,8400,Reg,Lvl,Corner,OldTown,1Fam,2Story,6,7,1900,1950,Gable,Stucco,TA,TA,BrkTil,Fa,Gd,Mn,Unf,0,917,917,Y,FuseA,1090,917,2007,0,0,2,0,3,Ex,8,0,NA,Detchd,1930,Unf,1,357,TA,TA,0,235,0,0,0,NA,0,6,2009,Normal,160000
719,902329080,70,60,3600,Reg,Lvl,Inside,OldTown,1Fam,2Story,6,7,1917,2007,Gable,Stucco,TA,TA,BrkTil,TA,TA,No,Unf,0,624,624,Y,SBrkr,664,624,1288,1,0,1,0,3,Ex,5,1,Gd,Attchd,1917,Unf,1,280,TA,TA,0,103,0,0,0,NA,0,5,2009,Normal,119000
720,902330040,70,121,17671,Reg,Lvl,Corner,OldTown,1Fam,2Story,8,9,1882,1986,Gable,Wd Sdng,Gd,Gd,BrkTil,TA,TA,No,BLQ,216,700,916,Y,SBrkr,916,826,1742,0,0,1,1,4,Gd,8,1,Gd,Attchd,1925,Unf,2,424,TA,TA,0,169,0,0,0,NA,0,11,2009,Normal,168000
721,902331010,30,,3300,Reg,Lvl,Inside,OldTown,1Fam,1Story,4,3,1910,1950,Gable,Stucco,TA,TA,BrkTil,TA,TA,No,Unf,0,624,624,Y,SBrkr,816,0,816,0,0,1,0,2,TA,5,1,Gd,NA,,NA,0,0,NA,NA,0,33,0,0,0,NA,0,6,2009,Normal,58500
722,902401130,70,50,9000,Reg,Lvl,Inside,OldTown,1Fam,2Story,7,9,1920,1988,Hip,VinylSd,TA,Gd,PConc,TA,TA,No,ALQ,624,26,650,Y,SBrkr,832,650,1482,0,1,1,0,3,TA,7,0,NA,Detchd,1930,Unf,2,324,TA,TA,0,0,0,0,0,NA,0,7,2009,Normal,143000
723,902402150,30,60,7200,Reg,Lvl,Inside,OldTown,1Fam,1Story,5,4,1910,2006,Hip,MetalSd,TA,TA,BrkTil,TA,TA,No,ALQ,247,310,1022,N,SBrkr,1022,0,1022,1,0,1,0,2,TA,4,0,NA,Detchd,1956,Unf,1,280,TA,TA,0,30,226,0,0,NA,0,6,2009,Normal,85000
724,902405100,50,98,8820,Reg,Lvl,Corner,OldTown,1Fam,1.5Fin,5,6,1890,1996,Hip,VinylSd,TA,TA,BrkTil,TA,TA,No,LwQ,1088,0,1088,Y,SBrkr,1188,561,1869,0,0,1,0,2,TA,7,0,NA,Detchd,1963,Unf,2,456,TA,TA,48,0,244,0,0,MnWw,0,9,2009,Normal,124900
725,902405120,50,60,5400,Reg,Lvl,Inside,OldTown,1Fam,1.5Fin,6,6,1920,1950,Gable,MetalSd,Fa,TA,BrkTil,TA,TA,No,Unf,0,972,972,Y,SBrkr,1044,0,1480,0,0,1,0,3,TA,6,0,NA,Detchd,1920,Unf,1,207,Fa,TA,0,0,176,0,0,NA,0,9,2009,Family,119000
726,902406070,70,60,9720,Reg,Lvl,Inside,OldTown,1Fam,2Story,6,7,1910,2002,Gable,MetalSd,TA,TA,PConc,TA,TA,No,Unf,0,741,741,Y,SBrkr,780,741,1521,0,0,1,0,4,Gd,8,0,NA,Detchd,1950,Unf,3,640,TA,TA,0,0,238,0,0,MnPrv,0,9,2009,Normal,146500
727,902477120,30,60,7879,Reg,Lvl,Inside,IDOTRR,1Fam,1Story,4,5,1920,1950,Gable,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,495,225,720,N,FuseA,720,0,720,0,0,1,0,2,TA,4,0,NA,NA,,NA,0,0,NA,NA,0,523,115,0,0,GdWo,0,11,2009,Abnorml,34900
728,902477130,30,72,9392,Reg,Lvl,Corner,IDOTRR,1Fam,1Story,3,3,1900,1950,Mansard,AsbShng,TA,Fa,CBlock,Fa,TA,No,Unf,0,245,245,N,SBrkr,797,0,797,0,0,1,0,2,TA,5,0,NA,NA,,NA,0,0,NA,NA,0,36,94,0,0,NA,0,9,2009,Abnorml,44000
729,903200080,70,144,21384,Reg,Lvl,Inside,BrkSide,1Fam,2Story,5,6,1923,2004,Gable,Wd Sdng,TA,TA,CBlock,TA,TA,Gd,GLQ,1309,15,1324,Y,SBrkr,1072,504,1576,2,0,1,1,3,Gd,6,1,TA,Attchd,1923,RFn,2,528,TA,TA,0,312,0,0,0,NA,0,5,2009,Normal,223500
730,903201020,30,,6615,Reg,Lvl,Inside,BrkSide,1Fam,1Story,6,6,1923,1950,Gable,MetalSd,TA,TA,BrkTil,TA,TA,No,Unf,0,1022,1022,N,FuseA,1432,0,1432,0,0,1,0,3,Gd,6,1,Gd,BuiltIn,1923,Unf,1,216,Fa,TA,266,61,0,0,0,GdWo,0,9,2009,Normal,149000
731,903201080,50,55,7264,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,7,7,1925,2007,Gable,Wd Sdng,Gd,Gd,BrkTil,TA,TA,No,Unf,0,952,952,N,SBrkr,952,596,1548,0,0,2,1,3,Ex,5,0,NA,Detchd,1978,Unf,2,672,TA,TA,74,0,0,0,144,NA,0,10,2009,Normal,205000
732,903202170,70,50,4960,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,5,7,1930,1982,Gable,WdShing,TA,TA,CBlock,TA,TA,No,Unf,0,297,297,Y,SBrkr,1001,653,1654,0,0,2,0,3,TA,7,1,Gd,Detchd,1955,Unf,1,336,TA,TA,244,60,0,0,0,NA,0,5,2009,Normal,137000
733,903205040,30,,8854,Reg,Lvl,Inside,BrkSide,1Fam,1.5Unf,6,6,1916,1950,Gable,Wd Sdng,TA,TA,BrkTil,TA,TA,No,Unf,0,952,952,N,FuseF,952,0,952,0,0,1,0,2,Fa,4,1,Gd,Detchd,1916,Unf,1,192,Fa,Po,0,98,0,0,40,NA,0,5,2009,Normal,121000
734,903226130,50,50,6000,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,4,6,1936,1950,Gable,MetalSd,TA,TA,BrkTil,TA,TA,No,BLQ,672,0,672,Y,SBrkr,757,567,1324,0,0,1,0,3,TA,6,0,NA,Detchd,1936,Unf,1,240,TA,TA,0,0,0,0,0,NA,0,7,2009,Normal,128000
735,903226170,50,50,6000,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,6,9,1937,2000,Gable,MetalSd,Gd,TA,BrkTil,TA,TA,No,Unf,0,698,698,Y,SBrkr,786,390,1176,0,0,1,0,2,TA,4,0,NA,Detchd,1999,Unf,2,624,TA,TA,210,0,0,0,0,NA,0,7,2009,Normal,134900
736,903227070,50,50,6000,Reg,Lvl,Corner,BrkSide,1Fam,1.5Fin,5,8,1925,1997,Gable,Wd Sdng,TA,TA,BrkTil,TA,TA,No,Unf,0,884,884,Y,SBrkr,884,464,1348,1,0,1,0,3,TA,5,1,Fa,Detchd,1960,Unf,1,216,TA,TA,0,0,208,0,0,NA,0,5,2009,Normal,117000
737,903227090,50,50,6000,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,6,6,1939,1950,Gable,MetalSd,TA,Fa,CBlock,TA,TA,No,Unf,0,780,780,Y,FuseF,825,587,1412,0,0,1,0,4,TA,6,1,Gd,Detchd,1939,Unf,1,280,TA,TA,45,0,0,0,0,NA,0,5,2009,Normal,132500
738,903228070,50,60,6000,Reg,Lvl,Corner,BrkSide,1Fam,1.5Fin,5,5,1924,1950,Gable,Stucco,TA,TA,BrkTil,TA,TA,No,Rec,220,248,468,Y,SBrkr,822,320,1142,0,0,1,0,3,TA,6,0,NA,Attchd,1924,Fin,1,320,TA,TA,0,0,98,0,0,NA,0,6,2009,Normal,93000
739,903228120,45,50,6000,Reg,Lvl,Inside,BrkSide,1Fam,1.5Unf,6,7,1926,2004,Gable,Wd Sdng,Gd,TA,PConc,TA,TA,No,Unf,0,884,884,Y,SBrkr,904,0,904,0,0,1,0,2,TA,4,0,NA,Detchd,1926,Unf,1,180,TA,TA,0,0,105,0,0,NA,0,1,2009,Normal,119000
740,903230100,30,60,6911,Reg,Lvl,FR2,BrkSide,1Fam,1Story,5,5,1924,1950,Gable,Wd Sdng,TA,TA,PConc,TA,TA,Mn,LwQ,405,740,1145,Y,SBrkr,1301,0,1301,0,0,1,0,2,Fa,5,0,NA,Detchd,1965,Unf,2,440,TA,TA,0,0,0,0,0,NA,0,10,2009,Normal,100000
741,903231010,50,51,6120,Reg,Lvl,Corner,BrkSide,1Fam,1.5Fin,5,6,1936,1950,Gable,Wd Sdng,TA,Fa,BrkTil,TA,TA,No,Unf,0,927,927,Y,SBrkr,1067,472,1539,0,0,1,1,3,TA,5,0,NA,Detchd,1995,Unf,2,576,TA,TA,112,0,0,0,0,MnPrv,0,4,2009,Normal,141500
742,903231030,50,51,6120,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,4,7,1935,1995,Gable,AsbShng,TA,TA,BrkTil,TA,TA,No,Unf,0,884,884,Y,SBrkr,989,584,1573,0,0,1,0,3,Gd,6,0,NA,Detchd,1935,Unf,1,240,TA,TA,0,0,54,0,120,NA,0,7,2009,Normal,133000
743,903231060,30,51,6120,Reg,Lvl,Inside,BrkSide,1Fam,1Story,2,3,1936,1950,Gable,AsbShng,Fa,Fa,BrkTil,TA,Fa,No,Unf,0,264,264,N,FuseA,800,0,800,0,0,1,0,1,Fa,4,1,Po,NA,,NA,0,0,NA,NA,0,0,0,0,0,NA,0,1,2009,Normal,60000
744,903231130,30,51,6120,Reg,Lvl,Corner,BrkSide,1Fam,1Story,5,7,1931,1993,Gable,Wd Sdng,TA,TA,BrkTil,TA,TA,No,BLQ,209,506,715,Y,FuseA,875,0,875,1,0,1,0,2,TA,5,0,NA,Detchd,1931,Unf,1,180,Fa,TA,48,0,0,0,0,NA,0,11,2009,Normal,105000
745,903232060,30,51,6120,Reg,Lvl,Inside,BrkSide,1Fam,1Story,5,6,1925,1999,Gable,MetalSd,TA,TA,BrkTil,TA,TA,No,Unf,0,960,960,Y,SBrkr,995,0,995,0,0,1,0,2,TA,5,0,NA,Detchd,1926,Unf,1,264,TA,TA,0,15,51,0,0,MnPrv,0,3,2009,Abnorml,115000
746,903234220,50,51,6120,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,5,6,1938,1950,Gable,Wd Sdng,TA,TA,BrkTil,TA,Fa,No,LwQ,273,679,952,Y,FuseA,994,588,1582,0,0,2,0,3,TA,6,1,Gd,Detchd,1938,Unf,1,250,Fa,TA,189,0,34,150,0,NA,0,2,2009,Normal,150000
747,903236040,30,50,8635,Reg,Lvl,Inside,BrkSide,1Fam,1Story,5,5,1925,1950,Hip,Wd Sdng,TA,Fa,BrkTil,TA,TA,No,LwQ,134,938,1072,Y,SBrkr,1072,0,1072,1,0,1,0,2,TA,5,0,NA,Detchd,1982,Unf,5,1184,Fa,TA,0,0,105,0,0,NA,0,8,2009,Normal,126500
748,903400220,75,,11888,IR1,Bnk,Inside,BrkSide,1Fam,2.5Unf,6,6,1916,1994,Gable,Wd Sdng,TA,TA,BrkTil,TA,TA,No,Unf,0,844,844,N,FuseA,1445,689,2134,0,0,2,0,5,Gd,10,0,NA,Detchd,1930,Unf,2,441,TA,TA,0,60,268,0,0,NA,0,7,2009,Normal,214500
749,903425245,70,60,11414,IR1,Lvl,Corner,BrkSide,1Fam,2Story,7,8,1910,1993,Gable,HdBoard,TA,Gd,BrkTil,Gd,TA,No,Unf,0,728,728,N,SBrkr,1136,883,2019,0,0,1,0,3,Gd,8,0,NA,Detchd,1997,Unf,2,532,TA,TA,509,135,0,0,0,GdPrv,0,10,2009,Normal,167500
750,903427120,70,57,8094,Reg,Lvl,Inside,OldTown,1Fam,2Story,6,6,1915,1950,Gable,MetalSd,TA,TA,PConc,TA,TA,No,Unf,0,1048,1048,Y,FuseA,1048,720,1768,0,0,2,0,3,TA,8,0,NA,Detchd,1930,Unf,2,576,Fa,Fa,0,0,150,0,0,NA,0,6,2009,Normal,155000
751,903429080,70,50,2500,Reg,Lvl,Corner,OldTown,1Fam,2Story,7,8,1915,2005,Gable,Stucco,Gd,TA,PConc,TA,TA,No,ALQ,299,611,910,Y,SBrkr,916,910,1826,1,0,1,1,4,Ex,7,1,Gd,Attchd,1915,Unf,1,164,Fa,Fa,0,0,0,0,0,NA,0,6,2009,Normal,155000
752,903429110,70,68,9928,Reg,Lvl,Inside,OldTown,1Fam,2Story,7,8,1915,1994,Gable,Wd Sdng,TA,Gd,BrkTil,TA,TA,No,Unf,0,672,672,Y,SBrkr,1272,672,1944,0,0,2,0,3,TA,8,0,NA,Detchd,1915,Unf,1,216,TA,TA,24,28,0,0,0,NA,400,6,2009,Normal,179900
753,903430060,75,92,5520,Reg,Lvl,Corner,OldTown,1Fam,2.5Fin,6,6,1912,1950,Gable,Wd Sdng,TA,TA,CBlock,TA,TA,No,Unf,0,755,755,Y,SBrkr,929,929,2229,0,0,1,0,5,TA,8,0,NA,NA,,NA,0,0,NA,NA,0,198,30,0,0,MnPrv,0,7,2009,Abnorml,104000
754,903430070,90,50,3000,Reg,Bnk,Inside,OldTown,Duplex,2Story,5,1,1922,1950,Hip,MetalSd,TA,TA,BrkTil,TA,Fa,No,Unf,0,1040,1040,N,SBrkr,1088,1040,2128,0,0,2,0,4,TA,11,0,NA,NA,,NA,0,0,NA,NA,0,56,0,0,0,NA,0,9,2009,Abnorml,62500
755,903451090,70,57,6876,Reg,Lvl,Inside,IDOTRR,1Fam,2Story,6,5,1927,1950,Gable,Plywood,TA,TA,CBlock,TA,Fa,No,BLQ,522,198,720,Y,SBrkr,1146,784,1930,1,0,2,0,4,TA,8,0,NA,Attchd,1927,Unf,1,316,TA,TA,0,0,213,0,0,MnPrv,0,8,2009,Normal,149000
756,903458170,30,52,6240,Reg,Lvl,Inside,IDOTRR,1Fam,1.5Fin,4,5,1925,1950,Gable,MetalSd,TA,TA,CBlock,TA,TA,No,BLQ,152,628,780,Y,FuseA,848,0,1208,0,0,1,0,2,TA,5,0,NA,Detchd,1962,Unf,2,539,TA,TA,0,23,112,0,0,NA,0,1,2009,Normal,103000
757,903475100,70,,5775,IR2,Bnk,Corner,OldTown,1Fam,2Story,6,7,1915,2002,Gable,Wd Sdng,TA,TA,BrkTil,TA,TA,No,Unf,0,483,483,Y,SBrkr,741,686,1427,0,0,1,0,3,Gd,7,0,NA,Attchd,1915,Unf,1,379,TA,TA,0,24,112,0,0,NA,0,2,2009,Normal,123000
758,903476090,190,41,5852,IR3,Bnk,Corner,OldTown,2fmCon,2.5Unf,7,5,1902,2000,Gable,MetalSd,TA,Fa,BrkTil,TA,Fa,No,Rec,169,851,1020,N,FuseF,978,886,1864,0,0,2,1,6,TA,9,0,NA,NA,,NA,0,0,NA,NA,0,188,102,0,0,NA,0,5,2009,Normal,97500
759,903481120,50,60,5160,Reg,Lvl,Corner,IDOTRR,1Fam,1.5Fin,6,6,1927,1950,Gable,MetalSd,TA,Fa,BrkTil,TA,TA,No,Unf,0,1204,1204,Y,FuseA,1204,462,1666,0,0,1,0,3,TA,4,0,NA,Detchd,1927,Unf,1,384,Fa,TA,0,0,148,0,0,NA,0,8,2009,Normal,135000
760,903481130,85,86,5160,Reg,Lvl,Inside,IDOTRR,1Fam,SFoyer,4,6,1923,1950,Hip,MetalSd,TA,Gd,PConc,Gd,Fa,Av,BLQ,749,46,858,Y,SBrkr,892,0,892,1,0,1,0,1,Gd,5,0,NA,NA,,NA,0,0,NA,NA,0,0,105,0,160,NA,0,7,2009,Abnorml,70000
761,903484110,190,60,10320,Reg,Bnk,Inside,IDOTRR,2fmCon,2Story,6,7,1915,1965,Gable,MetalSd,TA,Gd,CBlock,TA,TA,No,Rec,276,160,698,Y,FuseF,754,649,1403,1,0,1,1,3,TA,7,0,NA,Detchd,1915,Unf,1,308,TA,TA,0,0,288,0,0,NA,0,2,2009,Normal,116000
762,904100190,20,50,4280,IR1,Lvl,Inside,Sawyer,1Fam,1Story,4,9,1946,2001,Gable,MetalSd,TA,Gd,CBlock,Fa,TA,No,Unf,0,560,560,Y,FuseA,704,0,704,0,1,1,0,2,Fa,4,0,NA,CarPort,1946,Unf,1,220,TA,TA,0,0,24,0,0,NA,0,9,2009,Normal,88750
763,904301060,90,60,10800,Reg,Lvl,Inside,Edwards,Duplex,1Story,5,5,1987,1988,Gable,Plywood,TA,TA,CBlock,Gd,Gd,Gd,GLQ,1200,0,1200,Y,SBrkr,1200,0,1200,3,0,3,0,3,TA,5,0,NA,NA,,NA,0,0,NA,NA,120,0,0,0,0,NA,0,3,2009,Alloca,179000
764,904301070,90,60,10800,Reg,Lvl,Inside,Edwards,Duplex,1Story,5,5,1987,1988,Gable,Plywood,TA,Gd,CBlock,Gd,Gd,Gd,GLQ,1200,0,1200,Y,SBrkr,1200,0,1200,3,0,3,0,3,TA,5,0,NA,NA,,NA,0,0,NA,NA,120,0,0,0,0,NA,0,3,2009,Alloca,179000
765,904301100,90,,10547,IR1,Lvl,Inside,Edwards,Duplex,SFoyer,5,5,1978,1978,Gable,Plywood,TA,TA,PConc,Gd,Gd,Gd,GLQ,1152,0,1152,Y,SBrkr,1152,0,1152,2,0,2,0,2,TA,6,0,NA,Detchd,1960,Unf,1,252,TA,Fa,0,0,0,0,0,NA,0,7,2009,Normal,159900
766,904301375,30,,10020,IR1,Low,Inside,Edwards,1Fam,1Story,1,1,1922,1950,Gable,Wd Sdng,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350,333,683,N,FuseA,904,0,904,1,0,0,1,1,Fa,4,0,NA,NA,,NA,0,0,NA,NA,0,0,0,0,0,NA,0,3,2009,Normal,61000
767,904351200,70,54,6629,Reg,Lvl,Inside,Edwards,1Fam,2Story,6,6,1925,1950,Gambrel,Wd Sdng,TA,Gd,BrkTil,TA,TA,No,BLQ,551,121,672,N,SBrkr,697,672,1369,1,0,2,0,3,TA,6,0,NA,Detchd,1930,Unf,1,300,TA,TA,147,0,0,0,0,NA,0,7,2009,Normal,103600
768,904351240,50,60,9780,Reg,Lvl,Inside,Edwards,1Fam,1.5Fin,5,3,1934,1950,Gable,MetalSd,TA,TA,PConc,TA,TA,No,Unf,0,585,585,N,FuseA,687,425,1112,1,0,2,0,4,TA,6,0,NA,Detchd,1934,Unf,1,226,Po,Po,0,0,0,0,0,NA,0,3,2009,Normal,63000
769,905101260,80,70,12886,IR1,Lvl,Inside,Sawyer,1Fam,SLvl,5,6,1963,1999,Gable,HdBoard,TA,TA,CBlock,Gd,TA,Av,ALQ,444,76,520,Y,SBrkr,1464,0,1464,0,1,2,0,3,TA,6,1,TA,Attchd,1997,RFn,2,480,TA,TA,302,0,0,0,100,NA,0,10,2009,Normal,175000
770,905101490,20,80,8816,Reg,Lvl,Corner,Sawyer,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,TA,TA,PConc,TA,TA,No,Rec,651,470,1121,Y,SBrkr,1121,0,1121,1,0,1,0,3,TA,5,0,NA,Detchd,1963,Unf,2,480,TA,TA,0,80,0,0,0,MnPrv,0,6,2009,Normal,139000
771,905103040,60,70,11184,Reg,Lvl,Inside,Sawyer,1Fam,2Story,6,5,1978,1978,Hip,HdBoard,TA,TA,CBlock,TA,TA,No,LwQ,226,192,918,Y,SBrkr,918,765,1683,0,0,2,1,3,TA,7,1,TA,Attchd,1978,RFn,2,440,TA,TA,243,0,0,0,0,NA,0,7,2009,Normal,172500
772,905103070,20,75,11625,Reg,Lvl,Inside,Sawyer,1Fam,1Story,5,6,1967,1967,Hip,HdBoard,TA,TA,CBlock,TA,TA,No,BLQ,527,525,1052,Y,SBrkr,1052,0,1052,0,0,1,1,3,TA,6,1,Po,Attchd,1984,Fin,1,668,TA,TA,0,215,0,0,0,NA,0,4,2009,Abnorml,113500
773,905105190,20,65,7800,Reg,Lvl,Inside,Sawyer,1Fam,1Story,5,7,1967,2004,Hip,HdBoard,TA,TA,PConc,TA,TA,No,ALQ,450,414,864,Y,SBrkr,899,0,899,0,0,1,0,3,Gd,5,0,NA,Attchd,1967,Fin,1,288,TA,TA,64,0,0,0,0,MnPrv,0,6,2009,Normal,130000
774,905107310,85,,8014,IR1,Lvl,CulDSac,Sawyer,1Fam,SFoyer,6,5,1978,1978,Gable,Plywood,TA,TA,CBlock,Gd,TA,Gd,GLQ,456,0,456,Y,SBrkr,1034,0,1034,0,1,1,0,3,TA,5,1,Fa,Basment,1978,Fin,2,504,TA,TA,0,0,0,0,0,NA,0,6,2009,Normal,149900
775,905108190,85,,7252,IR1,Lvl,CulDSac,Sawyer,1Fam,SFoyer,5,5,1982,1982,Hip,Wd Sdng,TA,TA,CBlock,Gd,TA,Av,GLQ,685,173,858,Y,SBrkr,858,0,858,1,0,1,0,2,TA,5,0,NA,Detchd,1983,Unf,2,576,TA,TA,120,0,0,0,0,NA,0,4,2009,Normal,134900
776,905108220,85,74,8740,IR1,Lvl,Inside,Sawyer,1Fam,SFoyer,5,6,1982,1982,Hip,HdBoard,TA,TA,CBlock,TA,TA,Av,ALQ,672,168,840,Y,SBrkr,860,0,860,1,0,1,0,2,TA,4,0,NA,Detchd,1996,Unf,2,528,TA,TA,0,0,0,0,0,NA,0,7,2009,Normal,137000
777,905200220,20,,11616,Reg,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1962,1962,Gable,Wd Sdng,TA,TA,CBlock,TA,TA,No,LwQ,170,252,1092,Y,SBrkr,1092,0,1092,0,1,1,0,3,TA,6,1,Po,Attchd,1962,Unf,1,288,TA,TA,0,20,144,0,0,NA,0,9,2009,Normal,139000
778,905200260,80,88,15400,Reg,Lvl,Inside,Sawyer,1Fam,SLvl,5,5,1961,1961,Hip,HdBoard,TA,TA,CBlock,TA,Gd,No,Unf,0,552,552,Y,SBrkr,904,611,1774,0,0,2,0,4,TA,8,1,TA,Attchd,1961,Unf,1,384,TA,TA,290,40,0,0,0,NA,0,7,2009,Normal,165000
779,905200350,80,88,15312,Reg,Lvl,Inside,Sawyer,1Fam,SLvl,6,5,1960,1960,Hip,Wd Sdng,TA,TA,CBlock,TA,TA,Av,BLQ,588,550,1138,Y,SBrkr,1138,0,1138,0,1,1,0,3,TA,6,1,TA,Attchd,1960,RFn,2,480,TA,TA,0,0,0,0,140,MnPrv,0,3,2009,Normal,148000
780,905225090,80,,15584,Reg,Lvl,Inside,ClearCr,1Fam,SLvl,5,5,1956,1956,Hip,Wd Sdng,TA,TA,CBlock,TA,TA,Mn,Unf,0,825,825,Y,SBrkr,2071,0,2071,0,1,1,1,4,TA,9,1,TA,Attchd,1956,Unf,1,336,TA,TA,131,28,0,0,0,NA,0,10,2009,Normal,165000
781,905228050,20,,9000,Reg,Lvl,Corner,Sawyer,1Fam,1Story,2,2,1947,1950,Gable,Wd Sdng,TA,TA,Slab,NA,NA,NA,NA,0,0,0,N,SBrkr,660,0,660,0,0,1,0,2,Fa,5,0,NA,NA,,NA,0,0,NA,NA,0,0,100,0,0,NA,0,6,2009,Normal,63900
782,905229040,50,,11250,Reg,Lvl,Inside,ClearCr,1Fam,1.5Fin,4,5,1957,1989,Gable,Wd Sdng,TA,TA,CBlock,TA,TA,Av,Unf,0,1104,1104,Y,FuseA,1104,684,1788,1,0,1,0,5,TA,8,2,TA,Attchd,1957,Unf,1,304,TA,TA,120,0,0,0,0,NA,0,11,2009,Normal,161500
783,905325020,20,65,25095,IR1,Low,Inside,ClearCr,1Fam,1Story,5,8,1968,2003,Flat,Wd Sdng,TA,TA,CBlock,TA,TA,Gd,GLQ,1324,113,1437,Y,SBrkr,1473,0,1473,2,0,1,0,1,Ex,5,2,Gd,Attchd,1968,Unf,1,452,TA,TA,0,48,0,0,60,NA,0,6,2009,Partial,143000
784,905377010,20,,17140,Reg,Lvl,Inside,Edwards,1Fam,1Story,4,6,1956,1956,Gable,VinylSd,TA,TA,CBlock,TA,TA,No,ALQ,1059,75,1134,Y,FuseA,1229,0,1229,0,0,1,0,3,TA,6,0,NA,Attchd,1956,RFn,1,284,TA,TA,0,0,0,0,0,NA,0,4,2009,Normal,135000
785,905377130,30,,12342,IR1,Lvl,Inside,Edwards,1Fam,1Story,4,5,1940,1950,Gable,VinylSd,TA,TA,CBlock,TA,TA,No,BLQ,262,599,861,Y,SBrkr,861,0,861,0,0,1,0,1,TA,4,0,NA,Detchd,1961,Unf,2,539,TA,TA,158,0,0,0,0,NA,0,3,2009,Normal,82500
786,905401100,20,,10708,IR1,Lvl,Inside,ClearCr,1Fam,1Story,5,5,1955,1993,Hip,Wd Sdng,Gd,TA,CBlock,TA,TA,No,LwQ,379,470,1617,Y,FuseA,1867,0,1867,1,0,1,0,2,TA,7,3,Gd,Attchd,1955,Fin,1,303,TA,TA,476,0,0,0,142,GdWo,0,11,2009,Normal,190000
787,905402060,20,,13680,IR1,Lvl,CulDSac,Edwards,1Fam,1Story,3,5,1955,1955,Hip,BrkFace,TA,TA,Slab,NA,NA,NA,NA,0,0,0,Y,FuseA,1733,0,1733,0,0,2,0,4,TA,8,1,Gd,Attchd,1955,Unf,2,452,TA,TA,0,0,0,0,0,NA,0,6,2009,Normal,139600
788,905402070,20,,15635,IR1,Lvl,CulDSac,Edwards,1Fam,1Story,4,5,1954,1954,Gable,VinylSd,TA,TA,CBlock,NA,NA,NA,NA,0,0,0,Y,SBrkr,1383,0,1383,0,0,1,0,2,TA,6,0,NA,Attchd,1980,Unf,2,498,Fa,TA,0,0,90,0,110,NA,0,10,2009,Normal,122000
789,905450020,20,73,9855,Reg,Lvl,Corner,Edwards,1Fam,1Story,6,5,1956,1956,Hip,Wd Sdng,TA,TA,CBlock,TA,TA,No,Unf,0,1436,1436,Y,SBrkr,1689,0,1689,0,0,1,0,3,TA,7,1,Gd,Attchd,1956,Unf,2,480,TA,TA,0,0,0,0,0,MnPrv,0,11,2009,Normal,127500
790,905451300,20,68,9571,Reg,Lvl,Inside,Edwards,1Fam,1Story,5,5,1956,1956,Hip,MetalSd,TA,TA,CBlock,TA,TA,No,Rec,257,816,1073,Y,FuseA,1073,0,1073,1,0,1,0,2,TA,5,0,NA,Attchd,1956,Unf,1,340,TA,TA,0,0,0,0,0,GdPrv,0,2,2009,Normal,121500
